"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","70.28","70.57","70.71","70.16","9.40M","-0.06%"
"12/30/2024","70.32","70.40","70.59","70.02","11.83M","-0.66%"
"12/27/2024","70.79","70.78","70.95","70.52","9.33M","-0.21%"
"12/26/2024","70.94","70.73","71.00","70.55","7.93M","0.51%"
"12/24/2024","70.58","70.42","70.59","70.12","5.82M","0.43%"
"12/23/2024","70.28","69.96","70.35","69.68","14.58M","0.59%"
"12/20/2024","69.87","69.32","70.43","69.22","12.59M","-0.27%"
"12/19/2024","70.06","70.49","70.51","69.95","11.65M","-0.16%"
"12/18/2024","70.17","71.93","72.04","70.07","12.93M","-2.41%"
"12/17/2024","71.90","71.95","72.17","71.87","8.66M","-1.78%"
"12/16/2024","73.20","73.22","73.48","73.10","11.57M","-0.35%"
"12/13/2024","73.46","73.78","73.79","73.30","6.18M","-0.31%"
"12/12/2024","73.69","73.95","74.24","73.63","6.10M","-0.91%"
"12/11/2024","74.37","74.31","74.44","74.06","6.86M","0.61%"
"12/10/2024","73.92","74.35","74.39","73.87","5.68M","-0.81%"
"12/09/2024","74.52","75.01","75.11","74.51","6.43M","-0.12%"
"12/06/2024","74.61","74.86","74.88","74.43","5.03M","0.00%"
"12/05/2024","74.61","74.61","74.73","74.45","6.57M","0.48%"
"12/04/2024","74.25","74.42","74.42","74.12","9.47M","0.09%"
"12/03/2024","74.18","74.24","74.38","73.96","6.99M","0.54%"
"12/02/2024","73.78","73.67","73.89","73.21","10.65M","0.18%"
"11/29/2024","73.65","72.95","73.66","72.90","5.89M","1.47%"
"11/27/2024","72.58","72.52","72.73","72.38","12.38M","0.53%"
"11/26/2024","72.20","72.53","72.53","71.98","8.93M","-0.54%"
"11/25/2024","72.59","72.80","72.90","72.40","9.26M","0.41%"
"11/22/2024","72.29","71.92","72.40","71.90","7.09M","0.44%"
"11/21/2024","71.97","71.87","72.09","71.61","16.90M","0.06%"
"11/20/2024","71.93","71.87","71.95","71.49","12.49M","-0.37%"
"11/19/2024","72.20","71.69","72.33","71.61","8.79M","-0.10%"
"11/18/2024","72.27","71.86","72.42","71.80","8.61M","0.56%"
"11/15/2024","71.87","72.08","72.08","71.72","21.50M","-0.36%"
"11/14/2024","72.13","72.55","72.67","72.07","11.12M","0.17%"
"11/13/2024","72.01","72.24","72.26","71.64","8.59M","-0.65%"
"11/12/2024","72.48","73.13","73.14","72.09","11.36M","-1.82%"
"11/11/2024","73.82","74.00","74.08","73.75","4.66M","0.01%"
"11/08/2024","73.81","74.00","74.03","73.44","7.53M","-1.35%"
"11/07/2024","74.82","74.54","74.89","74.39","6.90M","1.57%"
"11/06/2024","73.66","73.62","73.75","73.07","7.55M","-1.41%"
"11/05/2024","74.71","74.20","74.79","74.14","5.63M","0.97%"
"11/04/2024","73.99","74.33","74.54","73.94","6.96M","0.04%"
"11/01/2024","73.96","74.20","74.36","73.87","9.08M","0.24%"
"10/31/2024","73.78","73.92","73.92","73.14","11.00M","-0.63%"
"10/30/2024","74.25","74.12","74.60","74.08","8.08M","-0.52%"
"10/29/2024","74.64","74.73","74.88","74.53","9.90M","-0.43%"
"10/28/2024","74.96","74.70","75.06","74.63","5.17M","0.75%"
"10/25/2024","74.40","74.73","74.91","74.23","6.61M","-0.33%"
"10/24/2024","74.65","74.75","74.79","74.29","7.20M","0.57%"
"10/23/2024","74.23","74.30","74.49","73.90","6.23M","-1.07%"
"10/22/2024","75.03","74.94","75.14","74.88","3.58M","-0.53%"
"10/21/2024","75.43","75.94","76.00","75.32","5.09M","-1.23%"
"10/18/2024","76.37","76.27","76.39","76.10","5.09M","0.65%"
"10/17/2024","75.88","76.17","76.18","75.82","6.16M","-0.05%"
"10/16/2024","75.92","75.90","75.98","75.76","7.31M","0.25%"
"10/15/2024","75.73","76.60","76.64","75.63","7.46M","-1.46%"
"10/14/2024","76.85","76.42","76.92","76.39","3.65M","0.16%"
"10/11/2024","76.73","76.25","76.75","76.25","6.19M","0.59%"
"10/10/2024","76.28","76.19","76.34","75.88","8.60M","-0.18%"
"10/09/2024","76.42","76.03","76.49","75.97","5.23M","0.04%"
"10/08/2024","76.39","76.39","76.45","76.19","4.20M","-0.25%"
"10/07/2024","76.58","76.75","76.86","76.26","5.40M","-0.60%"
"10/04/2024","77.04","76.64","77.04","76.56","5.17M","0.71%"
"10/03/2024","76.50","76.58","76.72","76.25","5.31M","-0.97%"
"10/02/2024","77.25","77.20","77.43","76.89","5.76M","-0.22%"
"10/01/2024","77.42","78.07","78.10","77.03","10.44M","-0.81%"
"09/30/2024","78.05","78.32","78.33","77.60","7.85M","-0.26%"
"09/27/2024","78.25","78.70","78.82","78.09","8.26M","-0.62%"
