"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","75.55","75.24","75.75","74.97","1.27M","0.98%"
"12/30/2024","74.82","74.86","75.27","74.46","1.62M","1.31%"
"12/27/2024","73.85","74.10","74.40","73.69","1.46M","0.98%"
"12/26/2024","73.13","74.26","74.38","72.90","1.81M","-0.71%"
"12/24/2024","73.65","73.70","74.03","73.45","1.01M","0.81%"
"12/23/2024","73.06","72.91","73.07","72.10","1.89M","-0.05%"
"12/20/2024","73.10","72.27","73.41","71.96","1.60M","0.67%"
"12/19/2024","72.61","73.93","74.11","72.61","2.10M","-0.45%"
"12/18/2024","72.94","73.67","74.38","72.92","2.34M","-0.49%"
"12/17/2024","73.30","72.96","73.35","72.31","2.14M","-0.54%"
"12/16/2024","73.70","74.15","74.30","73.61","1.95M","-0.69%"
"12/13/2024","74.21","73.62","74.50","73.54","2.71M","1.37%"
"12/12/2024","73.21","72.90","73.58","72.19","2.83M","-0.16%"
"12/11/2024","73.33","72.58","73.59","72.15","3.06M","2.70%"
"12/10/2024","71.40","71.54","72.13","71.32","2.48M","0.32%"
"12/09/2024","71.17","71.23","71.97","71.15","2.06M","1.32%"
"12/06/2024","70.24","70.62","70.71","69.99","3.08M","-1.72%"
"12/05/2024","71.47","71.95","72.17","71.22","1.53M","-0.57%"
"12/04/2024","71.88","73.41","73.45","71.52","2.78M","-1.59%"
"12/03/2024","73.04","72.16","73.32","71.80","3.20M","2.82%"
"12/02/2024","71.04","71.87","71.95","70.70","3.55M","-0.80%"
"11/29/2024","71.61","72.32","72.74","71.51","1.76M","-0.15%"
"11/27/2024","71.72","71.63","72.30","71.16","1.58M","0.15%"
"11/26/2024","71.61","72.52","73.34","71.01","2.88M","-0.68%"
"11/25/2024","72.10","72.94","73.44","71.73","3.30M","-2.90%"
"11/22/2024","74.25","73.10","74.58","72.94","2.57M","1.43%"
"11/21/2024","73.20","73.13","73.26","72.39","1.85M","1.64%"
"11/20/2024","72.02","72.84","72.84","71.60","1.36M","-0.40%"
"11/19/2024","72.31","72.40","72.71","71.40","3.96M","0.33%"
"11/18/2024","72.07","70.93","72.31","70.90","3.12M","3.33%"
"11/15/2024","69.75","70.87","71.35","69.56","3.63M","-2.16%"
"11/14/2024","71.29","72.06","72.09","70.82","2.09M","0.79%"
"11/13/2024","70.73","70.33","71.50","69.60","3.45M","0.06%"
"11/12/2024","70.69","71.78","71.85","70.50","1.91M","-0.35%"
"11/11/2024","70.94","71.21","71.45","70.64","3.27M","-2.99%"
"11/08/2024","73.13","73.84","73.94","72.66","2.98M","-2.05%"
"11/07/2024","74.66","74.01","75.56","73.51","3.13M","0.16%"
"11/06/2024","74.54","73.23","75.32","73.23","4.18M","-0.25%"
"11/05/2024","74.73","74.92","75.34","74.05","2.84M","0.59%"
"11/04/2024","74.29","73.86","74.43","73.28","3.24M","3.15%"
"11/01/2024","72.02","73.63","73.80","71.95","4.53M","-1.45%"
"10/31/2024","73.08","71.81","73.35","71.44","9.18M","2.41%"
"10/30/2024","71.36","70.67","71.63","70.36","3.93M","2.44%"
"10/29/2024","69.66","70.12","70.31","69.14","4.02M","-1.09%"
"10/28/2024","70.43","69.77","70.64","69.67","7.43M","-5.12%"
"10/25/2024","74.23","73.80","74.49","73.36","3.68M","1.60%"
"10/24/2024","73.06","73.75","74.08","72.27","2.22M","-0.67%"
"10/23/2024","73.55","73.49","74.03","72.91","2.41M","-0.58%"
"10/22/2024","73.98","73.19","74.65","73.00","3.78M","2.38%"
"10/21/2024","72.26","72.40","72.87","71.71","2.94M","1.23%"
"10/18/2024","71.38","71.74","71.92","70.57","4.34M","-1.71%"
