"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","89.08","88.97","89.29","88.28","5.05M","0.87%"
"12/30/2024","88.31","88.42","88.56","87.44","4.40M","-0.50%"
"12/27/2024","88.75","89.12","89.77","88.50","3.82M","-1.00%"
"12/26/2024","89.65","89.17","89.74","88.73","2.58M","0.27%"
"12/24/2024","89.41","88.55","89.51","88.51","2.18M","0.66%"
"12/23/2024","88.82","88.18","88.93","87.84","4.55M","-0.57%"
"12/20/2024","89.33","87.85","90.34","87.85","7.62M","1.68%"
"12/19/2024","87.85","89.47","90.15","87.79","5.40M","-1.55%"
"12/18/2024","89.23","92.83","93.27","89.21","5.41M","-4.13%"
"12/17/2024","93.07","93.14","93.83","92.83","3.02M","-0.48%"
"12/16/2024","93.52","93.80","94.58","93.45","3.65M","-0.35%"
"12/13/2024","93.85","93.99","94.19","93.59","2.80M","-0.29%"
"12/12/2024","94.12","94.03","95.13","94.03","2.26M","-0.16%"
"12/11/2024","94.27","94.53","94.98","94.01","4.30M","-0.23%"
"12/10/2024","94.49","95.76","95.76","94.19","2.90M","-1.45%"
"12/09/2024","95.88","95.74","96.20","95.60","2.87M","0.28%"
"12/06/2024","95.61","96.01","96.33","95.19","1.87M","-0.15%"
"12/05/2024","95.75","95.59","95.84","95.22","2.92M","-0.24%"
"12/04/2024","95.98","96.34","96.34","95.47","2.22M","-0.27%"
"12/03/2024","96.24","96.82","97.11","96.18","1.99M","-0.51%"
"12/02/2024","96.73","97.66","97.74","96.46","3.66M","-1.46%"
"11/29/2024","98.16","98.75","99.09","98.04","1.92M","-0.45%"
"11/27/2024","98.60","98.53","99.20","98.51","2.38M","0.64%"
"11/26/2024","97.97","97.42","98.07","97.04","2.77M","0.40%"
"11/25/2024","97.58","96.80","98.06","96.80","4.00M","1.39%"
"11/22/2024","96.24","95.84","96.42","95.83","2.94M","0.75%"
"11/21/2024","95.52","94.84","95.81","94.45","2.99M","0.74%"
"11/20/2024","94.82","94.55","94.94","94.05","3.14M","-0.13%"
"11/19/2024","94.94","94.23","95.17","93.78","3.04M","0.49%"
"11/18/2024","94.48","93.38","94.48","93.22","2.47M","0.72%"
"11/15/2024","93.80","93.41","93.98","93.01","2.79M","0.05%"
"11/14/2024","93.75","94.60","94.60","93.57","3.71M","-0.90%"
"11/13/2024","94.60","94.86","95.45","94.46","2.88M","0.55%"
"11/12/2024","94.08","95.05","95.46","94.07","4.65M","-1.38%"
"11/11/2024","95.40","95.81","96.44","95.33","2.28M","-0.50%"
"11/08/2024","95.88","94.83","96.16","94.70","4.09M","1.49%"
"11/07/2024","94.47","93.80","94.75","93.54","4.87M","1.20%"
"11/06/2024","93.35","95.63","95.63","92.37","6.34M","-2.13%"
"11/05/2024","95.38","93.61","95.43","93.39","2.40M","1.33%"
"11/04/2024","94.13","93.41","94.46","93.38","3.37M","1.10%"
"11/01/2024","93.11","94.68","94.91","93.06","4.84M","-1.10%"
"10/31/2024","94.15","95.00","95.58","94.09","4.95M","-1.69%"
"10/30/2024","95.77","95.35","96.48","95.30","2.93M","0.44%"
"10/29/2024","95.35","95.74","96.15","95.04","2.82M","-0.72%"
"10/28/2024","96.04","96.43","96.99","95.92","2.30M","0.31%"
"10/25/2024","95.74","97.31","97.61","95.71","3.83M","-0.94%"
"10/24/2024","96.65","96.56","97.25","96.47","2.63M","0.22%"
"10/23/2024","96.44","95.51","96.62","95.41","2.71M","0.73%"
"10/22/2024","95.74","95.31","96.08","95.16","2.53M","0.15%"
"10/21/2024","95.60","97.03","97.42","95.47","4.14M","-1.96%"
"10/18/2024","97.51","97.03","97.55","96.66","2.08M","0.74%"
"10/17/2024","96.79","97.18","97.29","96.50","2.90M","-0.79%"
"10/16/2024","97.56","96.73","97.68","96.55","3.18M","1.10%"
"10/15/2024","96.50","95.80","97.32","95.75","2.81M","1.21%"
"10/14/2024","95.35","94.50","95.50","94.28","2.53M","0.60%"
"10/11/2024","94.78","94.20","94.78","94.02","2.65M","1.13%"
"10/10/2024","93.72","94.02","94.67","93.43","2.66M","-0.89%"
