Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,45.80,44.68,46.26,44.37,3.12M,0.59%
12/30/2024,45.53,46.92,48.49,44.14,5.88M,2.48%
12/27/2024,44.43,43.18,46.87,43.09,5.91M,4.42%
12/26/2024,42.55,42.61,44.02,42.26,3.62M,0.64%
12/24/2024,42.28,43.97,44.05,42.18,2.88M,-4.73%
12/23/2024,44.38,46.92,48.82,44.38,4.05M,-7.70%
12/20/2024,48.08,55.82,55.98,47.63,10.97M,-14.36%
12/19/2024,56.14,49.59,56.85,48.89,11.43M,8.55%
12/18/2024,51.72,44,51.89,43.38,8.14M,16.78%
12/17/2024,44.29,43.75,44.5,43.24,4.13M,2.48%
12/16/2024,43.22,42.3,43.46,42.3,3.03M,1.69%
12/13/2024,42.50,41.97,43.03,41.75,2.85M,0.07%
12/12/2024,42.47,42.24,42.92,41.84,3.06M,0.81%
12/11/2024,42.13,41.59,42.33,41.38,3.38M,-0.78%
12/10/2024,42.46,42.45,42.86,42.02,2.80M,-1.00%
12/9/2024,42.89,41.67,43.07,41.59,3.58M,2.71%
12/6/2024,41.76,41.68,42.18,41.47,3.31M,-1.56%
12/5/2024,42.42,42.56,42.7,42.11,2.28M,0.21%
12/4/2024,42.33,41.68,42.39,41.3,2.80M,0.62%
12/3/2024,42.07,42.6,43.24,41.71,2.80M,-0.54%
12/2/2024,42.30,42.62,42.74,42.14,1.99M,-0.67%
11/29/2024,42.58,43,43.08,42.42,2.11M,-1.99%
11/27/2024,43.45,43.69,44.82,43.32,2.62M,-0.37%
11/26/2024,43.61,44.04,44.06,43.23,3.00M,-0.62%
11/25/2024,43.88,44.39,46.25,43.88,3.64M,-4.11%
11/22/2024,45.76,47.29,47.56,45.72,4.06M,-3.97%
11/21/2024,47.65,46.58,49.27,46.43,5.66M,-0.79%
11/20/2024,48.03,46.43,49.83,46.34,7.87M,3.56%
11/19/2024,46.38,47.52,47.62,45.21,6.25M,3.32%
11/18/2024,44.89,46.31,46.64,44.15,4.36M,-3.65%
11/15/2024,46.59,44.16,48.63,43.95,8.24M,7.15%
11/14/2024,43.48,43.27,43.84,42.78,3.47M,-0.13%
11/13/2024,43.53,44.24,44.78,43.35,3.03M,-2.21%
11/12/2024,44.52,44.92,45.73,44.36,3.23M,-0.29%
11/11/2024,44.65,44.37,44.75,43.92,3.17M,-0.27%
11/8/2024,44.77,45.03,45.61,44.57,3.23M,-0.71%
11/7/2024,45.09,45.74,45.74,44.84,4.39M,-3.53%
11/6/2024,46.74,46,48.49,46,7.84M,-9.33%
11/5/2024,51.55,53.69,53.69,51.41,6.25M,-5.36%
11/4/2024,54.47,56.37,56.71,54.15,4.55M,-4.19%
11/1/2024,56.85,56.31,57.05,54.96,6.15M,-1.76%
10/31/2024,57.87,55.21,58,55.1,7.31M,7.65%
10/30/2024,53.76,52.95,53.92,52.12,3.05M,2.44%
10/29/2024,52.48,52.84,53.25,51.71,2.95M,-0.44%
10/28/2024,52.71,53.06,53.38,52.01,3.93M,-4.67%
10/25/2024,55.29,52.19,55.39,51.72,4.71M,4.70%
10/24/2024,52.81,52.53,55.25,52.47,3.98M,-1.69%
10/23/2024,53.72,51.75,55.09,51.61,5.48M,5.02%
10/22/2024,51.15,52.04,52.57,50.81,2.80M,-0.39%
10/21/2024,51.35,51.6,52.71,51.09,2.86M,0.27%
10/18/2024,51.21,52.09,52.39,51.14,2.49M,-2.36%
10/17/2024,52.45,52.81,53.5,52.34,2.15M,-1.65%
10/16/2024,53.33,53.72,54.61,52.97,2.99M,-0.97%
10/15/2024,53.85,51.23,54.08,50.86,5.53M,3.26%
10/14/2024,52.15,53.31,53.52,51.59,2.86M,-3.55%
10/11/2024,54.07,54.81,54.9,53.63,3.44M,-1.17%
10/10/2024,54.71,54.28,55.45,54.19,3.56M,1.26%
10/9/2024,54.03,55,55.28,53.72,3.57M,-2.46%
10/8/2024,55.39,55.68,56.36,54.67,4.08M,-4.04%
10/7/2024,57.72,53.97,58.16,53.85,5.44M,8.91%
10/4/2024,53.00,53.89,54.75,52.72,4.29M,-3.79%
10/3/2024,55.09,53.9,55.4,53.01,4.49M,4.52%
10/2/2024,52.71,53.53,55.12,52.39,4.44M,-1.35%
10/1/2024,53.43,49.5,54.06,49.5,11.33M,7.72%
09/30/2024,49.60,51,52.17,49.53,3.84M,-2.23%
09/27/2024,50.73,48.4,50.77,48.34,3.29M,4.64%
09/26/2024,48.48,48.15,48.95,48,2.76M,0.14%
09/25/2024,48.41,48.03,48.59,47.44,2.90M,1.36%
09/24/2024,47.76,47.45,49.36,47.15,2.84M,0.06%
09/23/2024,47.73,47.06,48.15,46.63,3.11M,0.63%
09/20/2024,47.43,48.06,48.25,46.93,4.00M,-0.61%
09/19/2024,47.72,47.97,48.73,47.35,4.12M,-4.33%
09/18/2024,49.88,50.1,50.93,47.56,7.65M,-0.83%
09/17/2024,50.30,49.15,51.07,48.7,4.63M,2.15%
09/16/2024,49.24,49.07,50.45,48.96,4.14M,0.92%
09/13/2024,48.79,49.2,49.37,47.71,4.37M,-0.31%
9/12/2024,48.94,49.85,51.02,48.88,4.30M,-0.79%
9/11/2024,49.33,50.77,55.71,49.29,7.40M,-4.25%
9/10/2024,51.52,51.95,54.91,51.4,5.12M,-1.77%
9/9/2024,52.45,54.98,55.55,51.94,6.14M,-6.52%
9/6/2024,56.11,51.34,58.58,50.7,9.68M,7.41%
9/5/2024,52.24,53.99,54.64,51.4,7.61M,-4.97%
9/4/2024,54.97,55.03,56.21,51.24,8.75M,2.67%
9/3/2024,53.54,45.62,55.2,45.52,10.68M,20.31%
08/30/2024,44.50,45.04,46,44.36,4.82M,-3.02%
08/29/2024,45.88,46.02,46.58,45.16,5.39M,-3.56%
08/28/2024,47.58,45.05,48.24,44.91,5.54M,5.76%
08/27/2024,44.99,46.53,46.92,44.94,2.72M,-1.98%
08/26/2024,45.90,45.66,47.05,45.57,3.06M,-0.09%
08/23/2024,45.94,47.55,48.14,45.73,6.82M,-5.99%
08/22/2024,48.87,46.35,49.16,46.19,5.20M,4.21%
08/21/2024,46.89,46.07,48.01,45.99,5.10M,1.56%
08/20/2024,46.17,44.74,46.44,44.52,6.03M,3.92%
08/19/2024,44.43,45.29,45.45,44.03,5.12M,-1.77%
08/16/2024,45.23,46.12,46.45,45,4.00M,-0.23%
08/15/2024,45.33,45.83,46.56,44.66,6.01M,-3.83%
08/14/2024,47.14,49.48,49.9,47.06,5.64M,-6.51%
08/13/2024,50.42,53.34,53.5,50.33,5.27M,-7.93%
8/12/2024,54.76,54.72,56.17,51.22,6.19M,-1.83%
